,coin,06/05/22_1130,06/05/22_1118,06/05/221117,1114,1806,1805
0,filecoin,1.12,1.47,1.47,2.09,-0.53,-0.53
1,firo,37.28,37.09,37.09,35.77,0.33,0.33
2,dogecoin,-34.51,-34.84,-34.84,-34.84,-15.6,-15.6
3,arweave,-19.28,-20.25,-20.25,-20.32,-13.12,-13.12
4,zcash,-19.11,-19.07,-19.07,-19.07,-7.83,-7.83
5,vechain,-18.29,-18.27,-18.27,-18.43,-21.94,-21.94
6,tellor,-43.02,-45.64,-45.64,-46.36,-49.95,-49.95
7,syscoin,-7.48,-8.77,-8.77,-9.22,-63.83,-63.83
8,stellar,-31.67,-31.89,-31.89,-31.79,-11.28,-11.28
9,storj,-15.95,-16.28,-16.28,-16.28,-29.54,-29.54
10,siacoin,-22.77,-25.36,-25.36,-25.96,-37.04,-37.04
11,ravencoin,-28.32,-29.02,-29.02,-27.81,-28.29,-28.29
12,nervos-network,-27.49,-28.11,-28.11,-28.11,-28.4,-28.4
13,monero,-27.94,-28.14,-28.14,-28.42,-20.87,-20.87
14,litecoin,-20.61,-21.15,-21.2,-21.2,-18.01,-18.15
15,kadena,-27.17,-28.25,-28.25,-28.25,31.22,31.22
16,cortex,53.87,51.09,51.09,51.09,38.03,38.03
17,bitcoin,-34.04,-33.67,-33.67,-33.96,-36.01,-35.96
18,bitcoin-cash,-0.65,-0.7,-0.7,-0.72,-5.04,-5.04
19,hathor,-35.3,-35.62,-35.62,-35.47,-38.96,-38.96
