,#,Currency,Pair,Price,+2% Depth,-2% Depth,Volume,Volume %,Liquidity,Updated
0,1,Ethereum,ETH/USDT,"$1,960.62","$8,954,670.33","$10,011,584.50","$1,211,346,469",8.47%,967,Recently
1,2,Binance USD,BUSD/USDT,$1.00,"$61,935,338.77","$101,840,400.53","$885,745,631",6.19%,992,Recently
2,3,ApeCoin,APE/USDT,$7.98,"$1,002,496.81","$1,620,629.44","$196,231,665",1.37%,782,Recently
3,4,Solana,SOL/USDT,$50.83,"$3,422,177.92","$4,211,268.27","$241,826,027",1.69%,747,Recently
4,5,Ethereum,ETH/BUSD,"$1,960.62","$3,477,710.75","$2,828,660.62","$585,453,441",4.09%,864,Recently
5,6,Bitcoin,BTC/BUSD,"$29,126.99","$4,037,863.45","$8,331,607.37","$744,572,784",5.20%,902,Recently
6,7,Terra,LUNA/BUSD,$0.000171,"$327,164.69","$559,686.11","$509,695,359",3.56%,689,Recently
7,8,STEPN,GMT/BUSD,$1.41,"$459,423.25","$783,134.37","$116,048,989",0.81%,672,Recently
8,9,STEPN,GMT/USDT,$1.41,"$1,396,202.19","$2,144,704.33","$470,734,181",3.29%,809,Recently
9,10,BNB,BNB/USDT,$292.98,"$4,391,183.80","$5,841,126.87","$208,077,502",1.45%,761,Recently
10,11,Ethereum,ETH/BTC,"$1,960.62","$3,002,395.50","$5,356,325.39","$327,056,267",2.29%,900,Recently
11,12,USD Coin,USDC/USDT,$1.00,"$15,466,657.07","$76,064,388.09","$396,591,544",2.77%,966,Recently
12,13,XRP,XRP/USDT,$0.4151,"$2,703,438.97","$3,838,319.03","$152,853,891",1.07%,786,Recently
13,14,Avalanche,AVAX/USDT,$30.69,"$1,817,141.64","$2,627,691.53","$110,069,036",0.77%,721,Recently
14,15,Santos FC Fan Token,SANTOS/USDT,$4.34,"$12,353.94","$22,576.64","$112,864,646",0.79%,731,Recently
15,16,Bitcoin,BTC/USDC,"$29,126.99","$1,721,505.40","$3,219,221.74","$118,101,373",0.83%,821,Recently
16,17,JasmyCoin,JASMY/USDT,$0.01231,"$195,792.17","$201,842.77","$90,632,772",0.63%,624,Recently
17,18,Cardano,ADA/USDT,$0.525,"$2,075,355.35","$2,819,449.40","$102,739,173",0.72%,779,Recently
18,19,BNB,BNB/BUSD,$292.98,"$2,071,991.31","$2,296,197.84","$116,812,524",0.82%,737,Recently
19,20,Solana,SOL/BUSD,$50.83,"$869,164.52","$1,491,863.84","$113,283,233",0.79%,704,Recently
20,21,Gala,GALA/USDT,$0.08016,"$429,320.21","$652,280.11","$70,825,567",0.49%,700,Recently
21,22,Kyber Network Crystal v2,KNC/USDT,$2.09,"$163,862.83","$899,049.26","$57,210,032",0.40%,625,Recently
22,23,Santos FC Fan Token,SANTOS/TRY,$4.34,"$3,986.70","$35,434.55","$63,650,333",0.44%,899,Recently
23,24,Ethereum,ETH/USDC,"$1,960.62","$815,802.90","$1,382,787.33","$56,498,583",0.39%,755,Recently
24,25,Ethereum,ETH/EUR,"$1,960.62","$308,131.52","$285,589.80","$54,708,479",0.38%,752,Recently
25,26,Ethereum Name Service,ENS/USDT,$10.94,"$267,626.81","$348,922.29","$50,229,548",0.35%,595,Recently
26,27,Zilliqa,ZIL/USDT,$0.04913,"$168,110.88","$250,868.75","$50,744,698",0.35%,621,Recently
27,28,Polygon,MATIC/USDT,$0.648,"$552,982.50","$832,701.30","$66,248,312",0.46%,601,Recently
28,29,Alpine F1 Team Fan Token,ALPINE/USDT,$3.46,"$10,520.11","$43,241.24","$52,855,245",0.37%,530,Recently
29,30,Shiba Inu,SHIB/USDT,$0.00001184,"$455,679.78","$617,619.59","$69,990,320",0.49%,628,Recently
30,31,ApeCoin,APE/BUSD,$7.98,"$209,889.56","$554,255.36","$48,938,792",0.34%,668,Recently
31,32,Paris Saint-Germain Fan Token,PSG/USDT,$9.38,"$24,493.36","$23,464.88","$45,033,056",0.31%,924,Recently
32,33,Chiliz,CHZ/USDT,$0.1212,"$191,530.90","$391,691.12","$55,770,099",0.39%,577,Recently
33,34,Dogecoin,DOGE/USDT,$0.08532,"$615,044.23","$1,900,742.10","$47,651,765",0.33%,621,Recently
34,35,Polkadot,DOT/USDT,$9.90,"$1,357,432.71","$2,273,867.91","$107,267,034",0.75%,652,Recently
35,36,Axie Infinity,AXS/USDT,$22.07,"$795,493.25","$873,797.09","$87,746,733",0.61%,666,Recently
36,37,IDEX,IDEX/USDT,$0.1023,"$18,427.73","$93,659.34","$85,846,117",0.60%,898,Recently
37,38,NEAR Protocol,NEAR/USDT,$6.06,"$1,362,782.51","$1,425,368.20","$85,039,361",0.59%,709,Recently
38,39,Santos FC Fan Token,SANTOS/BUSD,$4.34,"$6,873.40","$16,557.72","$81,500,301",0.57%,638,Recently
39,40,Tether,USDT/TRY,$0.9987,"$1,849,765.74","$2,083,766.76","$81,197,256",0.57%,795,Recently
40,41,USD Coin,USDC/BUSD,$1.00,"$26,879,186.15","$28,472,121.62","$80,735,990",0.56%,941,Recently
41,42,Project Galaxy,GAL/USDT,$5.52,"$349,315.68","$456,720.84","$80,612,131",0.56%,669,Recently
42,43,Fantom,FTM/USDT,$0.3331,"$1,512,207.01","$1,822,055.53","$79,416,085",0.55%,697,Recently
43,44,IDEX,IDEX/BUSD,$0.1023,"$20,710.85","$46,679.30","$73,675,374",0.51%,893,Recently
44,45,TRON,TRX/USDT,$0.07204,"$657,822.52","$3,884,033.49","$72,827,223",0.51%,782,Recently
45,46,Bitcoin,BTC/EUR,"$29,126.99","$797,500.61","$954,504.80","$73,912,945",0.52%,794,Recently
46,47,S.S. Lazio Fan Token,LAZIO/USDT,$2.27,"$25,982.17","$36,100.44","$42,355,390",0.30%,820,Recently
